event_date,country_id,network_id,client_id,value_usd
2022-07-14,109,60,154,0.130000
2022-07-14,109,60,174,6.913000
2022-07-14,109,60,189,1.054000
2022-07-14,109,60,256,1.338000
2022-07-14,213,60,189,0.600000
2022-07-15,1,10,71,24.730000
2022-07-15,1,10,94,63.139999
2022-07-15,1,10,95,1.000000
2022-07-15,1,10,121,3.730000
2022-07-15,1,10,174,3.800000
2022-07-15,1,10,189,0.600000
2022-07-15,1,60,71,19.561000
2022-07-15,1,60,94,105.284003
2022-07-15,1,60,97,1.372000
2022-07-15,1,60,121,70.166999
2022-07-15,1,60,122,1.200000
2022-07-15,1,60,154,0.698000
2022-07-15,1,60,174,306.767998
2022-07-15,1,60,189,4.071000
2022-07-15,1,60,256,5.714000
2022-07-15,1,60,302,35.200000
2022-07-15,17,10,95,2.000000
2022-07-15,17,60,189,0.600000
2022-07-15,109,10,71,0.150000
2022-07-15,109,10,73,0.170000
2022-07-15,109,10,94,0.720000
2022-07-15,109,10,97,0.540000
2022-07-15,109,10,104,0.320000
2022-07-15,109,10,121,0.640000
2022-07-15,109,10,174,0.480000
2022-07-15,109,10,275,1.100000
2022-07-15,109,60,71,0.600000
2022-07-15,109,60,94,1.857000
2022-07-15,109,60,95,0.240000
2022-07-15,109,60,97,0.169000
2022-07-15,109,60,121,6.928000
2022-07-15,109,60,154,0.130000
2022-07-15,109,60,174,6.660000
2022-07-15,109,60,189,1.123000
2022-07-15,109,60,256,2.676000
2022-07-15,213,60,189,0.600000
2022-07-16,1,10,71,14.400000
2022-07-16,1,10,73,0.570000
2022-07-16,1,10,94,89.449998
2022-07-16,1,10,95,2.000000
2022-07-16,1,10,154,0.800000
2022-07-16,1,10,174,5.700000
2022-07-16,1,10,189,0.600000
2022-07-16,1,60,71,33.068000
2022-07-16,1,60,94,88.346003
2022-07-16,1,60,95,3.000000
2022-07-16,1,60,97,0.740000
2022-07-16,1,60,104,1.098000
2022-07-16,1,60,121,53.339998
2022-07-16,1,60,174,253.787999
2022-07-16,1,60,189,3.768000
2022-07-16,1,60,256,2.000000
2022-07-16,1,60,302,39.600000
2022-07-16,17,10,121,1.360000
2022-07-16,17,60,174,0.500000
2022-07-16,17,60,189,0.300000
2022-07-16,109,10,73,0.850000
2022-07-16,109,10,94,0.240000
2022-07-16,109,10,104,0.320000
2022-07-16,109,10,174,0.240000
2022-07-16,109,10,275,1.500000
2022-07-16,109,60,71,0.900000
2022-07-16,109,60,94,1.896000
2022-07-16,109,60,95,0.480000
2022-07-16,109,60,97,0.169000
2022-07-16,109,60,121,6.349000
2022-07-16,109,60,154,0.260000
2022-07-16,109,60,174,3.205000
2022-07-16,109,60,189,0.371000
2022-07-16,109,60,256,2.007000
2022-07-16,213,60,189,1.600000
2022-07-17,1,10,71,16.000000
2022-07-17,1,10,94,84.299998
2022-07-17,1,10,95,2.000000
2022-07-17,1,10,104,1.480000
2022-07-17,1,10,174,1.900000
2022-07-17,1,10,189,0.600000
2022-07-17,1,60,71,40.869000
2022-07-17,1,60,94,148.171004
2022-07-17,1,60,95,3.000000
2022-07-17,1,60,104,1.198000
2022-07-17,1,60,121,81.664998
2022-07-17,1,60,122,1.200000
2022-07-17,1,60,154,0.698000
2022-07-17,1,60,174,352.751998
2022-07-17,1,60,189,6.785000
2022-07-17,1,60,256,5.714000
2022-07-17,1,60,302,49.400000
2022-07-17,109,10,73,0.340000
2022-07-17,109,10,104,0.160000
2022-07-17,109,10,121,0.320000
2022-07-17,109,10,174,1.160000
2022-07-17,109,10,275,0.800000
2022-07-17,109,60,71,0.300000
2022-07-17,109,60,94,1.914000
2022-07-17,109,60,95,1.200000
2022-07-17,109,60,97,0.676000
2022-07-17,109,60,121,12.134000
2022-07-17,109,60,154,0.130000
2022-07-17,109,60,174,4.852000
2022-07-17,109,60,189,0.292000
2022-07-17,109,60,256,2.899000
2022-07-17,213,60,189,1.300000
2022-07-18,1,10,71,22.400000
2022-07-18,1,10,94,61.819999
2022-07-18,1,10,95,1.000000
2022-07-18,1,10,104,0.740000
2022-07-18,1,10,121,1.800000
2022-07-18,1,10,154,1.600000
2022-07-18,1,10,174,3.800000
2022-07-18,1,60,71,24.802999
2022-07-18,1,60,73,0.540000
2022-07-18,1,60,94,116.268003
2022-07-18,1,60,97,2.220000
2022-07-18,1,60,104,1.722000
2022-07-18,1,60,121,118.127001
2022-07-18,1,60,174,391.566992
2022-07-18,1,60,189,2.498000
2022-07-18,1,60,256,2.000000
2022-07-18,1,60,302,44.700000
2022-07-18,17,10,71,0.860000
2022-07-18,17,60,71,0.300000
2022-07-18,109,10,73,0.680000
2022-07-18,109,10,94,0.720000
2022-07-18,109,10,97,0.360000
2022-07-18,109,10,104,0.640000
2022-07-18,109,10,121,0.320000
2022-07-18,109,10,174,0.240000
2022-07-18,109,10,256,0.200000
2022-07-18,109,10,275,1.200000
2022-07-18,109,60,71,0.300000
2022-07-18,109,60,73,0.100000
2022-07-18,109,60,94,1.217000
2022-07-18,109,60,95,1.180000
2022-07-18,109,60,97,0.456000
2022-07-18,109,60,121,4.676000
2022-07-18,109,60,174,9.106000
2022-07-18,109,60,189,1.111000
2022-07-18,109,60,256,2.365000
2022-07-18,213,60,189,2.200000
2022-07-19,1,10,71,16.680000
